ObservationDate,Country/Region,Deaths
01/01/2021,Bangladesh,135.0
01/01/2021,Barbados,136.0
01/01/2021,Belarus,137.0
01/01/2021,Belgium,138.0
01/01/2021,Belize,139.0
01/01/2021,Benin,140.0
01/01/2021,Bhutan,141.0
01/01/2021,Bolivia,142.0
01/01/2021,Bosnia and Herzegovina,143.0
01/01/2021,Diamond Princess,144.0
01/01/2021,Djibouti,145.0
01/01/2021,Albania,146.0
01/01/2021,Dominican Republic,147.0
01/01/2021,Honduras,148.0
01/01/2021,Hong Kong,149.0
01/01/2021,Hungary,150.0
01/01/2021,Iceland,151.0
01/01/2021,India,152.0
01/01/2021,Indonesia,153.0
01/01/2021,Iran,154.0
01/01/2021,Iraq,155.0
01/01/2021,Ireland,156.0
01/01/2021,Israel,157.0
01/01/2021,Italy,158.0
01/01/2021,Ivory Coast,159.0
01/01/2021,Jamaica,160.0
01/01/2021,Japan,161.0
01/01/2021,Jordan,162.0
01/01/2021,Kazakhstan,163.0
01/01/2021,Kenya,164.0
01/01/2021,Kiribati,165.0
01/01/2021,Kosovo,166.0
01/01/2021,Kuwait,167.0
01/01/2021,Dominica,168.0
01/01/2021,Holy See,169.0
01/01/2021,Haiti,170.0
01/01/2021,Kyrgyzstan,171.0
01/01/2021,Guinea-Bissau,172.0
01/01/2021,Guyana,173.0
01/01/2021,Ecuador,174.0
01/01/2021,Egypt,175.0
01/01/2021,El Salvador,176.0
01/01/2021,Equatorial Guinea,177.0
01/01/2021,Eritrea,178.0
01/01/2021,Eswatini,179.0
01/01/2021,Ethiopia,180.0
01/01/2021,Fiji,181.0
01/01/2021,Finland,182.0
01/01/2021,Estonia,183.0
01/01/2021,Gabon,184.0
01/01/2021,Gambia,185.0
01/01/2021,Georgia,186.0
01/01/2021,Guinea,187.0
01/01/2021,Germany,188.0
01/01/2021,Ghana,189.0
01/01/2021,Greece,190.0
01/01/2021,Grenada,191.0
01/01/2021,Guatemala,192.0
01/01/2021,France,193.0
01/02/2021,North Macedonia,194.0
01/02/2021,Nigeria,195.0
01/02/2021,Niger,196.0
01/02/2021,Nepal,197.0
01/02/2021,New Zealand,198.0
01/02/2021,Netherlands,199.0
01/02/2021,Norway,200.0
01/02/2021,Nicaragua,201.0
01/02/2021,Oman,202.0
01/02/2021,Russia,203.0
01/02/2021,Panama,204.0
01/02/2021,Papua New Guinea,205.0
01/02/2021,Paraguay,206.0
01/02/2021,Peru,207.0
01/02/2021,Philippines,208.0
01/02/2021,Poland,209.0
01/02/2021,Portugal,210.0
01/02/2021,Qatar,211.0
01/02/2021,Romania,212.0
01/02/2021,Liberia,213.0
01/02/2021,Pakistan,214.0
01/02/2021,Namibia,215.0
01/02/2021,Malta,216.0
01/02/2021,Morocco,217.0
01/02/2021,Saint Kitts and Nevis,218.0
01/02/2021,Libya,219.0
01/02/2021,Liechtenstein,220.0
01/02/2021,Lithuania,221.0
01/02/2021,Luxembourg,222.0
01/02/2021,MS Zaandam,223.0
01/02/2021,Macau,224.0
01/02/2021,Madagascar,225.0
01/02/2021,Mainland China,226.0
01/02/2021,Malawi,227.0
01/02/2021,Malaysia,228.0
01/02/2021,Maldives,229.0
01/02/2021,Mali,230.0
01/02/2021,Marshall Islands,231.0
01/02/2021,Mauritania,232.0
01/02/2021,Mauritius,233.0
01/02/2021,Mexico,234.0
01/02/2021,Moldova,235.0
01/02/2021,Monaco,236.0
01/02/2021,Mongolia,237.0
01/02/2021,Montenegro,238.0
01/02/2021,Mozambique,239.0
01/02/2021,Saint Lucia,240.0
01/02/2021,Switzerland,241.0
01/02/2021,Samoa,242.0
01/02/2021,Timor-Leste,243.0
01/02/2021,Togo,244.0
01/02/2021,Trinidad and Tobago,245.0
01/02/2021,Tunisia,246.0
01/02/2021,Turkey,247.0
01/02/2021,UK,248.0
01/02/2021,US,249.0
01/02/2021,Uganda,250.0
01/02/2021,Ukraine,251.0
01/02/2021,Thailand,252.0
01/02/2021,United Arab Emirates,253.0
01/02/2021,Uzbekistan,254.0
01/02/2021,Vanuatu,255.0
01/02/2021,Venezuela,256.0
01/02/2021,Vietnam,257.0
01/02/2021,West Bank and Gaza,258.0
01/02/2021,Yemen,259.0
01/02/2021,Zambia,260.0
01/02/2021,Zimbabwe,261.0
01/02/2021,Lesotho,262.0
01/02/2021,Uruguay,263.0
01/02/2021,Tanzania,264.0
01/02/2021,Tajikistan,265.0
01/02/2021,Taiwan,266.0
01/02/2021,San Marino,267.0
01/02/2021,Sao Tome and Principe,268.0
01/02/2021,Saudi Arabia,269.0
01/02/2021,Senegal,270.0
01/02/2021,Serbia,271.0
01/02/2021,Seychelles,272.0
01/02/2021,Sierra Leone,273.0
01/02/2021,Singapore,274.0
01/02/2021,Slovakia,275.0
01/02/2021,Slovenia,276.0
01/02/2021,Solomon Islands,277.0
01/02/2021,Somalia,278.0
01/02/2021,South Africa,279.0
01/02/2021,South Korea,280.0
01/02/2021,South Sudan,281.0
01/02/2021,Spain,282.0
01/02/2021,Sri Lanka,283.0
01/02/2021,Sudan,284.0
01/02/2021,Suriname,285.0
01/02/2021,Sweden,286.0
01/02/2021,Syria,287.0
01/02/2021,Saint Vincent and the Grenadines,288.0
01/02/2021,Lebanon,289.0
01/02/2021,Rwanda,290.0
01/02/2021,Laos,291.0
01/02/2021,Burkina Faso,292.0
01/02/2021,Burma,293.0
01/02/2021,Burundi,294.0
01/02/2021,Cabo Verde,295.0
01/02/2021,Cambodia,296.0
01/02/2021,Cameroon,297.0
01/02/2021,Canada,298.0
01/02/2021,Central African Republic,299.0
01/02/2021,Chad,300.0
01/02/2021,Bulgaria,301.0
01/02/2021,Chile,302.0
01/02/2021,Comoros,303.0
01/02/2021,Congo (Brazzaville),304.0
01/02/2021,Congo (Kinshasa),305.0
01/02/2021,Costa Rica,306.0
01/02/2021,Croatia,307.0
01/02/2021,Cuba,308.0
01/02/2021,Cyprus,309.0
01/02/2021,Czech Republic,310.0
01/02/2021,Denmark,311.0
01/02/2021,Colombia,312.0
01/02/2021,Brunei,313.0
01/02/2021,Brazil,314.0
01/02/2021,Botswana,315.0
01/02/2021,Albania,316.0
01/02/2021,Algeria,317.0
01/02/2021,Andorra,318.0
01/02/2021,Angola,319.0
01/02/2021,Antigua and Barbuda,320.0
01/02/2021,Argentina,321.0
01/02/2021,Armenia,322.0
01/02/2021,Australia,323.0
01/02/2021,Austria,324.0
01/02/2021,Azerbaijan,325.0
01/02/2021,Bahamas,326.0
01/02/2021,Bahrain,327.0
01/02/2021,Bangladesh,328.0
01/02/2021,Barbados,329.0
01/02/2021,Belarus,330.0
01/02/2021,Belgium,331.0
01/02/2021,Belize,332.0
01/02/2021,Benin,333.0
01/02/2021,Bhutan,334.0
01/02/2021,Bolivia,335.0
01/02/2021,Bosnia and Herzegovina,336.0
01/02/2021,Diamond Princess,337.0
01/02/2021,Djibouti,338.0
01/02/2021,Afghanistan,339.0
01/02/2021,Latvia,340.0
01/02/2021,Honduras,341.0
01/02/2021,Hong Kong,342.0
01/02/2021,Hungary,343.0
01/02/2021,Iceland,344.0
01/02/2021,India,345.0
01/02/2021,Indonesia,346.0
01/02/2021,Iran,347.0
01/02/2021,Iraq,348.0
01/02/2021,Israel,349.0
01/02/2021,Italy,350.0
01/02/2021,Ivory Coast,351.0
01/02/2021,Jamaica,352.0
01/02/2021,Japan,353.0
01/02/2021,Jordan,354.0
01/02/2021,Kazakhstan,355.0
01/02/2021,Kenya,356.0
01/02/2021,Kiribati,357.0
01/02/2021,Kosovo,358.0
01/02/2021,Kuwait,359.0
01/02/2021,Kyrgyzstan,360.0
01/02/2021,Dominica,361.0
01/02/2021,Holy See,362.0
01/02/2021,Haiti,363.0
01/02/2021,Ireland,364.0
01/02/2021,Guinea-Bissau,365.0
01/02/2021,Guyana,366.0
01/02/2021,Ecuador,367.0
01/02/2021,Egypt,368.0
01/02/2021,El Salvador,369.0
01/02/2021,Equatorial Guinea,370.0
01/02/2021,Eritrea,371.0
01/02/2021,Estonia,372.0
01/02/2021,Ethiopia,373.0
01/02/2021,Fiji,374.0
01/02/2021,Finland,375.0
01/02/2021,Eswatini,376.0
01/02/2021,Gabon,377.0
01/02/2021,Guinea,378.0
01/02/2021,France,379.0
01/02/2021,Grenada,380.0
01/02/2021,Greece,381.0
01/02/2021,Ghana,382.0
01/02/2021,Guatemala,383.0
01/02/2021,Georgia,384.0
01/02/2021,Gambia,385.0
01/02/2021,Dominican Republic,386.0
01/02/2021,Germany,387.0
01/03/2021,North Macedonia,388.0
01/03/2021,Namibia,389.0
01/03/2021,Nepal,390.0
01/03/2021,Netherlands,391.0
01/03/2021,New Zealand,392.0
01/03/2021,Nicaragua,393.0
01/03/2021,Niger,394.0
01/03/2021,Nigeria,395.0
01/03/2021,Norway,396.0
01/03/2021,Romania,397.0
01/03/2021,Pakistan,398.0
01/03/2021,Panama,399.0
01/03/2021,Papua New Guinea,400.0
01/03/2021,Paraguay,401.0
01/03/2021,Peru,402.0
01/03/2021,Philippines,403.0
01/03/2021,Poland,404.0
01/03/2021,Portugal,405.0
01/03/2021,Qatar,406.0
01/03/2021,Mozambique,407.0
01/03/2021,Oman,408.0
01/03/2021,Morocco,409.0
01/03/2021,Lesotho,410.0
01/03/2021,Mongolia,411.0
01/03/2021,Russia,412.0
01/03/2021,Liberia,413.0
01/03/2021,Libya,414.0
01/03/2021,Liechtenstein,415.0
01/03/2021,Lithuania,416.0
01/03/2021,Luxembourg,417.0
01/03/2021,MS Zaandam,418.0
01/03/2021,Macau,419.0
01/03/2021,Madagascar,420.0
01/03/2021,Mainland China,421.0
01/03/2021,Malawi,422.0
01/03/2021,Malaysia,423.0
01/03/2021,Maldives,424.0
01/03/2021,Mali,425.0
01/03/2021,Malta,426.0
01/03/2021,Marshall Islands,427.0
01/03/2021,Mauritania,428.0
01/03/2021,Mauritius,429.0
01/03/2021,Mexico,430.0
01/03/2021,Moldova,431.0
01/03/2021,Monaco,432.0
01/03/2021,Montenegro,433.0
01/03/2021,Rwanda,434.0
01/03/2021,Zimbabwe,435.0
01/03/2021,Saint Lucia,436.0
01/03/2021,Tanzania,437.0
01/03/2021,Thailand,438.0
01/03/2021,Timor-Leste,439.0
01/03/2021,Togo,440.0
01/03/2021,Trinidad and Tobago,441.0
01/03/2021,Tunisia,442.0
01/03/2021,Turkey,443.0
01/03/2021,UK,444.0
01/03/2021,US,445.0
01/03/2021,Uganda,446.0
01/03/2021,Ukraine,447.0
01/03/2021,United Arab Emirates,448.0
01/03/2021,Uruguay,449.0
01/03/2021,Uzbekistan,450.0
01/03/2021,Vanuatu,451.0
01/03/2021,Venezuela,452.0
01/03/2021,Vietnam,453.0
01/03/2021,West Bank and Gaza,454.0
01/03/2021,Yemen,455.0
01/03/2021,Zambia,456.0
01/03/2021,Lebanon,457.0
01/03/2021,Tajikistan,458.0
01/03/2021,Saint Kitts and Nevis,459.0
01/03/2021,Taiwan,460.0
01/03/2021,Switzerland,461.0
01/03/2021,Saint Vincent and the Grenadines,462.0
01/03/2021,Samoa,463.0
01/03/2021,San Marino,464.0
01/03/2021,Sao Tome and Principe,465.0
01/03/2021,Saudi Arabia,466.0
01/03/2021,Senegal,467.0
01/03/2021,Serbia,468.0
01/03/2021,Seychelles,469.0
01/03/2021,Sierra Leone,470.0
01/03/2021,Singapore,471.0
01/03/2021,Slovakia,472.0
01/03/2021,Slovenia,473.0
01/03/2021,Solomon Islands,474.0
01/03/2021,Somalia,475.0
01/03/2021,South Africa,476.0
01/03/2021,South Korea,477.0
01/03/2021,South Sudan,478.0
01/03/2021,Spain,479.0
01/03/2021,Sri Lanka,480.0
01/03/2021,Sudan,481.0
01/03/2021,Suriname,482.0
01/03/2021,Syria,483.0
01/03/2021,Sweden,484.0
01/03/2021,Latvia,485.0
01/03/2021,Kyrgyzstan,486.0
01/03/2021,Bulgaria,487.0
01/03/2021,Burkina Faso,488.0
01/03/2021,Burma,489.0
01/03/2021,Burundi,490.0
01/03/2021,Cabo Verde,491.0
01/03/2021,Cambodia,492.0
01/03/2021,Cameroon,493.0
01/03/2021,Canada,494.0
01/03/2021,Central African Republic,495.0
01/03/2021,Brunei,496.0
01/03/2021,Chad,497.0
01/03/2021,Colombia,498.0
01/03/2021,Comoros,499.0
01/03/2021,Congo (Brazzaville),500.0
01/03/2021,Congo (Kinshasa),501.0
01/03/2021,Costa Rica,502.0
01/03/2021,Croatia,503.0
01/03/2021,Cuba,504.0
01/03/2021,Cyprus,505.0
01/03/2021,Czech Republic,506.0
01/03/2021,Chile,507.0
01/03/2021,Botswana,508.0
01/03/2021,Bosnia and Herzegovina,509.0
01/03/2021,Bolivia,510.0
01/03/2021,Laos,511.0
01/03/2021,Afghanistan,512.0
01/03/2021,Albania,513.0
01/03/2021,Algeria,514.0
01/03/2021,Andorra,515.0
01/03/2021,Angola,516.0
01/03/2021,Antigua and Barbuda,517.0
01/03/2021,Argentina,518.0
01/03/2021,Armenia,519.0
01/03/2021,Australia,520.0
01/03/2021,Austria,521.0
01/03/2021,Azerbaijan,522.0
01/03/2021,Bahamas,523.0
01/03/2021,Bahrain,524.0
01/03/2021,Bangladesh,525.0
01/03/2021,Barbados,526.0
01/03/2021,Belarus,527.0
01/03/2021,Belgium,528.0
01/03/2021,Belize,529.0
01/03/2021,Benin,530.0
01/03/2021,Bhutan,531.0
01/03/2021,Denmark,532.0
01/03/2021,Diamond Princess,533.0
01/03/2021,Brazil,534.0
01/03/2021,Dominica,535.0
01/03/2021,Holy See,536.0
01/03/2021,Honduras,537.0
01/03/2021,Hong Kong,538.0
01/03/2021,Hungary,539.0
01/03/2021,Iceland,540.0
01/03/2021,India,541.0
01/03/2021,Indonesia,542.0
01/03/2021,Iran,543.0
01/03/2021,Iraq,544.0
01/03/2021,Ireland,545.0
01/03/2021,Israel,546.0
01/03/2021,Italy,547.0
01/03/2021,Ivory Coast,548.0
01/03/2021,Jamaica,549.0
01/03/2021,Japan,550.0
01/03/2021,Jordan,551.0
01/03/2021,Kazakhstan,552.0
01/03/2021,Kenya,553.0
01/03/2021,Kiribati,554.0
01/03/2021,Kosovo,555.0
01/03/2021,Djibouti,556.0
01/03/2021,Haiti,557.0
01/03/2021,Guyana,558.0
01/03/2021,Kuwait,559.0
01/03/2021,Estonia,560.0
01/03/2021,Dominican Republic,561.0
01/03/2021,Ecuador,562.0
01/03/2021,Egypt,563.0
01/03/2021,El Salvador,564.0
01/03/2021,Equatorial Guinea,565.0
01/03/2021,Eritrea,566.0
01/03/2021,Guinea-Bissau,567.0
01/03/2021,Eswatini,568.0
01/03/2021,Ethiopia,569.0
01/03/2021,Finland,570.0
01/03/2021,Fiji,571.0
01/03/2021,Gabon,572.0
01/03/2021,Gambia,573.0
01/03/2021,Georgia,574.0
01/03/2021,Germany,575.0
01/03/2021,Ghana,576.0
01/03/2021,Greece,577.0
01/03/2021,Grenada,578.0
01/03/2021,Guatemala,579.0
01/03/2021,Guinea,580.0
01/03/2021,France,581.0
01/04/2021,Nigeria,582.0
01/04/2021,Norway,583.0
01/04/2021,North Macedonia,584.0
01/04/2021,Niger,585.0
01/04/2021,Rwanda,586.0
01/04/2021,New Zealand,587.0
01/04/2021,Netherlands,588.0
01/04/2021,Nepal,589.0
01/04/2021,Nicaragua,590.0
01/04/2021,Oman,591.0
01/04/2021,Russia,592.0
01/04/2021,Panama,593.0
01/04/2021,Papua New Guinea,594.0
01/04/2021,Paraguay,595.0
01/04/2021,Peru,596.0
01/04/2021,Philippines,597.0
01/04/2021,Poland,598.0
01/04/2021,Portugal,599.0
01/04/2021,Qatar,600.0
01/04/2021,Romania,601.0
01/04/2021,Namibia,602.0
01/04/2021,Pakistan,603.0
01/04/2021,Mozambique,604.0
01/04/2021,Mali,605.0
01/04/2021,Montenegro,606.0
01/04/2021,Liberia,607.0
01/04/2021,Libya,608.0
01/04/2021,Liechtenstein,609.0
01/04/2021,Lithuania,610.0
01/04/2021,Luxembourg,611.0
01/04/2021,MS Zaandam,612.0
01/04/2021,Macau,613.0
01/04/2021,Madagascar,614.0
01/04/2021,Mainland China,615.0
01/04/2021,Morocco,616.0
01/04/2021,Malawi,617.0
01/04/2021,Maldives,618.0
01/04/2021,Malta,619.0
01/04/2021,Marshall Islands,620.0
01/04/2021,Mauritania,621.0
01/04/2021,Mauritius,622.0
01/04/2021,Mexico,623.0
01/04/2021,Moldova,624.0
01/04/2021,Monaco,625.0
01/04/2021,Mongolia,626.0
01/04/2021,Malaysia,627.0
01/04/2021,Saint Lucia,628.0
01/04/2021,Lesotho,629.0
01/04/2021,Samoa,630.0
01/04/2021,Thailand,631.0
01/04/2021,Timor-Leste,632.0
01/04/2021,Togo,633.0
01/04/2021,Trinidad and Tobago,634.0
01/04/2021,Tunisia,635.0
01/04/2021,Turkey,636.0
01/04/2021,UK,637.0
01/04/2021,US,638.0
01/04/2021,Uganda,639.0
01/04/2021,Tanzania,640.0
01/04/2021,Ukraine,641.0
01/04/2021,Uruguay,642.0
01/04/2021,Uzbekistan,643.0
01/04/2021,Vanuatu,644.0
01/04/2021,Venezuela,645.0
01/04/2021,Vietnam,646.0
01/04/2021,West Bank and Gaza,647.0
01/04/2021,Yemen,648.0
01/04/2021,Zambia,649.0
01/04/2021,Zimbabwe,650.0
01/04/2021,United Arab Emirates,651.0
01/04/2021,Tajikistan,652.0
01/04/2021,Taiwan,653.0
01/04/2021,Syria,654.0
01/04/2021,San Marino,655.0
01/04/2021,Sao Tome and Principe,656.0
01/04/2021,Saudi Arabia,657.0
01/04/2021,Senegal,658.0
01/04/2021,Serbia,659.0
01/04/2021,Seychelles,660.0
01/04/2021,Sierra Leone,661.0
01/04/2021,Singapore,662.0
01/04/2021,Slovakia,663.0
01/04/2021,Slovenia,664.0
01/04/2021,Solomon Islands,665.0
01/04/2021,Somalia,666.0
01/04/2021,South Africa,667.0
01/04/2021,South Korea,668.0
01/04/2021,South Sudan,669.0
01/04/2021,Spain,670.0
01/04/2021,Sri Lanka,671.0
01/04/2021,Sudan,672.0
01/04/2021,Suriname,673.0
01/04/2021,Sweden,674.0
01/04/2021,Switzerland,675.0
01/04/2021,Saint Vincent and the Grenadines,676.0
01/04/2021,Lebanon,677.0
01/04/2021,Saint Kitts and Nevis,678.0
01/04/2021,Laos,679.0
01/04/2021,Bulgaria,680.0
01/04/2021,Burkina Faso,681.0
01/04/2021,Burma,682.0
01/04/2021,Burundi,683.0
01/04/2021,Cabo Verde,684.0
01/04/2021,Cambodia,685.0
01/04/2021,Cameroon,686.0
01/04/2021,Canada,687.0
01/04/2021,Central African Republic,688.0
01/04/2021,Chad,689.0
01/04/2021,Chile,690.0
01/04/2021,Colombia,691.0
01/04/2021,Comoros,692.0
01/04/2021,Congo (Brazzaville),693.0
01/04/2021,Congo (Kinshasa),694.0
01/04/2021,Costa Rica,695.0
01/04/2021,Croatia,696.0
01/04/2021,Cuba,697.0
01/04/2021,Cyprus,698.0
01/04/2021,Czech Republic,699.0
01/04/2021,Denmark,700.0
01/04/2021,Brunei,701.0
01/04/2021,Diamond Princess,702.0
01/04/2021,Brazil,703.0
01/04/2021,Bosnia and Herzegovina,704.0
01/04/2021,Afghanistan,705.0
01/04/2021,Albania,706.0
01/04/2021,Algeria,707.0
01/04/2021,Andorra,708.0
01/04/2021,Angola,709.0
01/04/2021,Antigua and Barbuda,710.0
01/04/2021,Argentina,711.0
01/04/2021,Armenia,712.0
01/04/2021,Australia,713.0
01/04/2021,Austria,714.0
01/04/2021,Azerbaijan,715.0
01/04/2021,Bahamas,716.0
01/04/2021,Bahrain,717.0
01/04/2021,Bangladesh,718.0
01/04/2021,Barbados,719.0
01/04/2021,Belarus,720.0
01/04/2021,Belgium,721.0
01/04/2021,Belize,722.0
01/04/2021,Benin,723.0
01/04/2021,Bhutan,724.0
01/04/2021,Bolivia,725.0
01/04/2021,Botswana,726.0
01/04/2021,Djibouti,727.0
01/04/2021,Latvia,728.0
01/04/2021,Dominica,729.0
01/04/2021,Honduras,730.0
01/04/2021,Hong Kong,731.0
01/04/2021,Hungary,732.0
01/04/2021,Iceland,733.0
01/04/2021,India,734.0
01/04/2021,Indonesia,735.0
01/04/2021,Iran,736.0
01/04/2021,Iraq,737.0
01/04/2021,Ireland,738.0
01/04/2021,Holy See,739.0
01/04/2021,Israel,740.0
01/04/2021,Ivory Coast,741.0
01/04/2021,Jamaica,742.0
01/04/2021,Japan,743.0
01/04/2021,Jordan,744.0
01/04/2021,Kazakhstan,745.0
01/04/2021,Kenya,746.0
01/04/2021,Kiribati,747.0
01/04/2021,Kosovo,748.0
01/04/2021,Kuwait,749.0
01/04/2021,Italy,750.0
01/04/2021,Haiti,751.0
01/04/2021,Kyrgyzstan,752.0
01/04/2021,Guinea-Bissau,753.0
01/04/2021,Dominican Republic,754.0
01/04/2021,Ecuador,755.0
01/04/2021,Egypt,756.0
01/04/2021,El Salvador,757.0
01/04/2021,Equatorial Guinea,758.0
01/04/2021,Eritrea,759.0
01/04/2021,Guyana,760.0
01/04/2021,Eswatini,761.0
01/04/2021,Ethiopia,762.0
01/04/2021,Fiji,763.0
01/04/2021,Estonia,764.0
01/04/2021,France,765.0
01/04/2021,Finland,766.0
01/04/2021,Guatemala,767.0
01/04/2021,Grenada,768.0
01/04/2021,Greece,769.0
01/04/2021,Guinea,770.0
01/04/2021,Germany,771.0
01/04/2021,Georgia,772.0
01/04/2021,Gambia,773.0
01/04/2021,Gabon,774.0
01/04/2021,Ghana,775.0
01/05/2021,Netherlands,776.0
01/05/2021,New Zealand,777.0
01/05/2021,Nicaragua,778.0
01/05/2021,Niger,779.0
01/05/2021,Nigeria,780.0
01/05/2021,North Macedonia,781.0
01/05/2021,Norway,782.0
01/05/2021,Oman,783.0
01/05/2021,Pakistan,784.0
01/05/2021,Rwanda,785.0
01/05/2021,Papua New Guinea,786.0
01/05/2021,Paraguay,787.0
01/05/2021,Peru,788.0
01/05/2021,Philippines,789.0
01/05/2021,Poland,790.0
01/05/2021,Portugal,791.0
01/05/2021,Qatar,792.0
01/05/2021,Romania,793.0
01/05/2021,Russia,794.0
01/05/2021,Nepal,795.0
01/05/2021,Panama,796.0
01/05/2021,Namibia,797.0
01/05/2021,Maldives,798.0
01/05/2021,Montenegro,799.0
01/05/2021,Saint Kitts and Nevis,800.0
01/05/2021,Liberia,801.0
01/05/2021,Libya,802.0
01/05/2021,Liechtenstein,803.0
01/05/2021,Lithuania,804.0
01/05/2021,Luxembourg,805.0
01/05/2021,MS Zaandam,806.0
01/05/2021,Macau,807.0
01/05/2021,Madagascar,808.0
01/05/2021,Mainland China,809.0
01/05/2021,Malawi,810.0
01/05/2021,Malaysia,811.0
01/05/2021,Mali,812.0
01/05/2021,Malta,813.0
01/05/2021,Marshall Islands,814.0
01/05/2021,Mauritania,815.0
01/05/2021,Mauritius,816.0
01/05/2021,Mexico,817.0
01/05/2021,Moldova,818.0
01/05/2021,Monaco,819.0
01/05/2021,Mongolia,820.0
01/05/2021,Mozambique,821.0
01/05/2021,Saint Lucia,822.0
01/05/2021,Switzerland,823.0
01/05/2021,Samoa,824.0
01/05/2021,Thailand,825.0
01/05/2021,Timor-Leste,826.0
01/05/2021,Togo,827.0
